cve_munedo,Periodo,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados
3002,202007,278,314,3,8,0,112,15,551
3002,202008,99,193,15,5,24,33,20,650
3002,202009,1,8,27,0,1,1,20,651
3003,202003,8,82,0,3,0,8,3,8
3003,202004,123,300,0,17,0,39,20,131
3003,202005,141,405,3,10,0,46,30,272
3003,202006,385,892,4,24,0,214,54,657
3003,202007,1591,1812,20,66,0,660,120,2248
3003,202008,1797,1725,39,48,412,595,168,4045
3003,202009,100,88,105,0,100,100,168,4145
3008,202001,0,7,0,0,0,0,0,0
3008,202002,0,11,0,0,0,0,0,0
3008,202003,34,95,0,0,0,28,0,34
3008,202004,171,314,0,7,0,34,7,205
3008,202005,80,125,1,8,0,39,15,285
3008,202006,262,363,4,18,0,121,33,547
3008,202007,936,628,23,60,0,360,93,1483
3008,202008,915,800,21,42,127,239,135,2398
3008,202009,17,13,120,0,17,17,135,2415
3009,202003,0,2,0,0,0,0,0,0
3009,202004,0,11,0,0,0,0,0,0
3009,202005,3,56,0,0,0,3,0,3
3009,202006,114,154,0,2,0,42,2,117
3009,202007,68,150,0,2,0,30,4,185
3009,202008,110,177,1,2,41,50,6,295
3009,202009,6,6,13,0,6,6,6,301
3999,202004,1,0,0,0,0,0,0,1
3999,202006,0,1,0,0,0,0,0,1
4001,202003,0,1,0,0,0,0,0,0
4001,202004,3,3,0,1,0,0,1,3
4001,202005,18,13,0,4,0,7,5,21
4001,202006,52,19,0,10,0,26,15,73
4001,202007,102,55,0,10,0,20,25,175
4001,202008,42,28,1,5,6,12,30,217
4001,202009,1,18,3,0,1,1,30,218
4002,202002,0,2,0,0,0,0,0,0
4002,202003,3,15,0,0,0,2,0,3
4002,202004,27,113,0,7,0,16,7,30
4002,202005,146,186,2,10,0,53,17,176
4002,202006,802,488,1,99,0,360,116,978
4002,202007,1019,750,11,148,0,216,264,1997
4002,202008,342,734,13,38,25,66,302,2339
4002,202009,3,7,29,0,2,2,302,2342
4003,202002,0,1,0,0,0,0,0,0
4003,202003,5,17,0,1,0,3,1,5
4003,202004,65,96,0,19,0,34,20,70
4003,202005,283,259,3,59,0,101,79,353
4003,202006,600,457,1,76,0,174,155,953
4003,202007,609,314,4,92,0,117,247,1562
4003,202008,208,361,13,31,23,47,278,1770
