cve_municipio,Municipio,cve_estado,Estado,CaptacionFeb20,CaptacionAgo20,CrecCaptacion2020,VarCaptacion2020,CarteraFeb20,CarteraAgo20,CrecCartera2020,VarCartera2020,poblacion,defuncionesAgo20,defuncionesTotales20,confirmadosAgo20,confirmadosTotales20,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados,Activos_100_mil_hab,Casos_100_mil_hab,Muertes_100_mil_casos
2005.0,PLAYAS DE ROSARITO,2.0,BAJA CALIFORNIA NORTE,3081.87,8688.71,5606.839999999999,181.92980236025528,424.81,405.0,-19.810000000000002,-4.66326122266425,107859.0,36.0,54.0,293.0,437.0,91.0,33.0,10.0,6.0,11.0,23.0,34.0,281.0,21.324136140702212,260.5253154581444,12099.64412811388
3001.0,COMONDU,3.0,BAJA CALIFORNIA SUR,1617.13,1898.19,281.05999999999995,17.380173517280607,315.53,296.92,-18.609999999999957,-5.898012867239233,83051.0,45.0,58.0,485.0,862.0,137.0,101.0,1.0,9.0,27.0,43.0,41.0,484.0,51.77541510638042,582.7744398020493,8471.074380165288
3002.0,MULEGE,3.0,BAJA CALIFORNIA SUR,1502.79,1543.97,41.180000000000064,2.740236493455517,350.83,344.9,-5.930000000000007,-1.6902773423025375,67727.0,26.0,41.0,656.0,1025.0,99.0,193.0,15.0,5.0,24.0,33.0,20.0,650.0,48.72502842293324,959.7354083305033,3076.923076923077
3003.0,LA PAZ,3.0,BAJA CALIFORNIA SUR,14260.61,15193.52,932.9099999999999,6.541866021158982,2043.04,2021.11,-21.930000000000064,-1.0734004228992067,301961.0,208.0,317.0,4041.0,7019.0,1797.0,1725.0,39.0,48.0,412.0,595.0,168.0,4045.0,197.04531379880183,1339.5769652372326,4153.27564894932
3008.0,LOS CABOS,3.0,BAJA CALIFORNIA SUR,16554.41,17316.17,761.7599999999984,4.601553302111028,1924.57,1897.44,-27.12999999999988,-1.4096655356780952,330312.0,153.0,220.0,2404.0,4118.0,915.0,800.0,21.0,42.0,127.0,239.0,135.0,2398.0,72.35583327278452,725.9802853060137,5629.691409507924
3009.0,LORETO,3.0,BAJA CALIFORNIA SUR,298.84,348.1,49.26000000000005,16.48373711685185,105.02,105.19,0.1700000000000017,0.1618739287754689,21657.0,6.0,15.0,293.0,659.0,110.0,177.0,1.0,2.0,41.0,50.0,6.0,295.0,230.8722353049822,1362.1461882993951,2033.8983050847455
4001.0,CALKINI,4.0,CAMPECHE,480.34,595.6,115.26000000000005,23.995503185243795,231.58,209.89,-21.690000000000026,-9.366093790482777,63298.0,37.0,38.0,221.0,236.0,42.0,28.0,1.0,5.0,6.0,12.0,30.0,217.0,18.95794495876647,342.82283800436034,13824.88479262673
4002.0,CAMPECHE,4.0,CAMPECHE,11324.89,12526.39,1201.5,10.609374572291653,1875.03,1786.95,-88.07999999999993,-4.697524839602563,317424.0,333.0,363.0,2385.0,2771.0,342.0,734.0,13.0,38.0,25.0,66.0,302.0,2339.0,20.792378648117346,736.8692978476738,12911.5006412997
4003.0,CIUDAD DEL CARMEN,4.0,CAMPECHE,8832.67,9268.96,436.28999999999905,4.939503004187862,1881.82,1669.47,-212.3499999999999,-11.2842886142139,275478.0,293.0,309.0,1901.0,2186.0,208.0,361.0,13.0,31.0,23.0,47.0,278.0,1770.0,17.06125353022746,642.5195478404809,15706.214689265538
4004.0,CHAMPOTON,4.0,CAMPECHE,538.22,658.77,120.54999999999995,22.397904202742367,242.15,232.15,-10.0,-4.129671691100556,99945.0,51.0,58.0,233.0,268.0,42.0,67.0,1.0,13.0,1.0,4.0,47.0,226.0,4.002201210665866,226.12436840262146,20796.46017699115
